ItemName,ComponentName,ComponentAmount
Garuda Neuroptics,Star Amarast,6
Garuda Neuroptics,Axidrol Alloy,40
Garuda Neuroptics,Nano Spores,5000
Garuda Chassis,Credits,15000
Garuda Chassis,Calda Toroid,2
Garuda Chassis,Radiant Zodian,3
Garuda Chassis,Travocyte Alloy,40
Garuda Chassis,Alloy Plate,2200
Garuda Systems,Credits,15000
Garuda Systems,Sola Toroid,2
Garuda Systems,Marquise Thyst,3
Garuda Systems,Venerdo Alloy,40
Garuda Systems,Polymer Bundle,2400
Volt,Credits,25000
Volt,Volt Chassis,1
Volt,Volt Neuroptics,1
Volt,Volt Systems,1
Volt Neuroptics,Credits,15000
Volt Neuroptics,Alloy Plate,150
Volt Neuroptics,Neural Sensors,1
Volt Neuroptics,Polymer Bundle,150
Volt Neuroptics,Rubedo,500
Volt Chassis,Credits,15000
Volt Chassis,Morphics,1
Volt Chassis,Ferrite,1000
Volt Chassis,Rubedo,300
Volt Systems,Credits,15000
Volt Systems,Control Module,1
Volt Systems,Morphics,1
Volt Systems,Salvage,500
Volt Systems,Plastids,220
Mag,Credits,25000
Mag,Mag Chassis,1
Mag,Mag Neuroptics,1
Mag,Mag Systems,1
Mag Neuroptics,Credits,15000
Mag Neuroptics,Alloy Plate,150
Mag Neuroptics,Neural Sensors,1
Mag Neuroptics,Polymer Bundle,150
Mag Neuroptics,Rubedo,500
Mag Chassis,Credits,15000
Mag Chassis,Morphics,1
Mag Chassis,Ferrite,1000
Mag Chassis,Rubedo,300
Mag Systems,Credits,15000
Mag Systems,Control Module,1
Mag Systems,Morphics,1
Mag Systems,Salvage,500
Mag Systems,Plastids,220
Baruuk,Credits,25000
Baruuk,Baruuk Chassis,1
Baruuk,Baruuk Neuroptics,1
Baruuk,Baruuk Systems,1
Baruuk Neuroptics,Credits,15000
Baruuk Neuroptics,Sola Toroid,3
Baruuk Neuroptics,Alloy Plate,2850
Baruuk Neuroptics,Hespazym Alloy,50
Baruuk Neuroptics,Ecosynth Analyzer,5
Baruuk Chassis,Credits,15000
Baruuk Chassis,Vega Toroid,3
Baruuk Chassis,Salvage,3250
Baruuk Chassis,Hespazym Alloy,100
Baruuk Chassis,Marquise Thyst,5
Baruuk Systems,Credits,15000
Baruuk Systems,Calda Toroid,3
Baruuk Systems,Ferrite,2500
Baruuk Systems,Entroplasma,10
Baruuk Systems,Radiant Zodian,5
Loki,Credits,25000
Loki,Loki Chassis,1
Loki,Loki Neuroptics,1
Loki,Loki Systems,1
Loki Neuroptics,Credits,15000
Loki Neuroptics,Alloy Plate,150
Loki Neuroptics,Neural Sensors,1
Loki Neuroptics,Polymer Bundle,150
Loki Neuroptics,Rubedo,500
Loki Chassis,Credits,15000
Loki Chassis,Morphics,1
Loki Chassis,Ferrite,1000
Loki Chassis,Rubedo,300
Loki Systems,Credits,15000
Loki Systems,Control Module,1
Loki Systems,Morphics,1
Loki Systems,Salvage,500
Loki Systems,Plastids,220
Saryn,Credits,25000
Saryn,Saryn Chassis,1
Saryn,Saryn Neuroptics,1
Saryn,Saryn Systems,1
Saryn Neuroptics,Credits,15000
Saryn Neuroptics,Circuits,150
Saryn Neuroptics,Neural Sensors,1
Saryn Neuroptics,Polymer Bundle,300
Saryn Neuroptics,Salvage,400
Saryn Chassis,Credits,15000
Saryn Chassis,Morphics,1
Saryn Chassis,Ferrite,1000
Saryn Chassis,Rubedo,50
Saryn Systems,Credits,15000
Saryn Systems,Control Module,1
Saryn Systems,Morphics,1
Saryn Systems,Salvage,550
Saryn Systems,Plastids,350
Protea,Credits,25000
Protea,Protea Chassis,1
Protea,Protea Neuroptics,1
Protea,Protea Systems,1
Protea Neuroptics,Credits,15000
Protea Neuroptics,Salvage,11500
Protea Neuroptics,Polymer Bundle,5150
Protea Neuroptics,Cubic Diodes,1250
Protea Neuroptics,Neural Sensors,5
Protea Chassis,Credits,15000
Protea Chassis,Alloy Plate,20000
Protea Chassis,Carbides,2750
Protea Chassis,Oxium,550
Protea Chassis,Morphics,12
Protea Systems,Credits,15000
Protea Systems,Ferrite,13400
Protea Systems,Cryotic,1000
Protea Systems,Titanium,1750
Protea Systems,Control Module,10
Atlas,Credits,30000
Atlas,Atlas Chassis,1
Atlas,Atlas Neuroptics,1
Atlas,Atlas Systems,1
Atlas Neuroptics,Credits,15000
Atlas Neuroptics,Polymer Bundle,1400
Atlas Neuroptics,Alloy Plate,1100
Atlas Neuroptics,Circuits,800
Atlas Neuroptics,Neurodes,5
Atlas Chassis,Credits,15000
Atlas Chassis,Nano Spores,1800
Atlas Chassis,Cryotic,1300
Atlas Chassis,Rubedo,700
Atlas Chassis,Argon Crystal,2
Atlas Systems,Credits,15000
Atlas Systems,Ferrite,4600
Atlas Systems,Polymer Bundle,1700
Atlas Systems,Morphics,5
Atlas Systems,Orokin Cell,1
Wukong,Credits,25000
Wukong,Wukong Chassis,1
Wukong,Wukong Neuroptics,1
Wukong,Wukong Systems,1
Wukong Neuroptics,Credits,15000
Wukong Neuroptics,Circuits,1400
Wukong Neuroptics,Neural Sensors,1
Wukong Neuroptics,Polymer Bundle,2600
Wukong Neuroptics,Nitain Extract,2
Wukong Chassis,Credits,15000
Wukong Chassis,Morphics,1
Wukong Chassis,Ferrite,900
Wukong Chassis,Rubedo,50
Wukong Chassis,Nitain Extract,4
Wukong Systems,Credits,15000
Wukong Systems,Argon Crystal,2
Wukong Systems,Neurodes,2
Wukong Systems,Salvage,8000
Wukong Systems,Plastids,4000
Banshee,Credits,25000
Banshee,Banshee Chassis,1
Banshee,Banshee Neuroptics,1
Banshee,Banshee Systems,1
Banshee Neuroptics,Credits,15000
Banshee Neuroptics,Circuits,150
Banshee Neuroptics,Neural Sensors,1
Banshee Neuroptics,Polymer Bundle,200
Banshee Neuroptics,Salvage,500
Banshee Chassis,Credits,15000
Banshee Chassis,Morphics,1
Banshee Chassis,Ferrite,900
Banshee Chassis,Rubedo,50
Banshee Systems,Credits,15000
Banshee Systems,Control Module,1
Banshee Systems,Morphics,1
Banshee Systems,Salvage,500
Banshee Systems,Plastids,400
Lavos,Credits,25000
Lavos,Lavos Chassis,1
Lavos,Lavos Neuroptics,1
Lavos,Lavos Systems,1
Lavos Neuroptics,Credits,15000
Lavos Neuroptics,Trapezium Xenorhast,6
Lavos Neuroptics,Titanium,2000
Lavos Neuroptics,Oxium,750
Lavos Neuroptics,Rubedo,2750
Lavos Chassis,Credits,15000
Lavos Chassis,Argon Crystal,2
Lavos Chassis,Nitain Extract,5
Lavos Chassis,Cryotic,1500
Lavos Chassis,Polymer Bundle,5500
Lavos Systems,Credits,15000
Lavos Systems,Cabochon Embolos,6
Lavos Systems,Nano Spores,5500
Lavos Systems,Hexenon,550
Lavos Systems,Circuits,3000
Nova,Credits,25000
Nova,Nova Chassis,1
Nova,Nova Neuroptics,1
Nova,Nova Systems,1
Nova Neuroptics,Credits,15000
Nova Neuroptics,Alloy Plate,150
Nova Neuroptics,Neural Sensors,1
Nova Neuroptics,Polymer Bundle,150
Nova Neuroptics,Rubedo,500
Nova Chassis,Credits,15000
Nova Chassis,Morphics,1
Nova Chassis,Ferrite,1000
Nova Chassis,Rubedo,300
Nova Systems,Credits,15000
Nova Systems,Control Module,1
Nova Systems,Morphics,1
Nova Systems,Salvage,500
Nova Systems,Plastids,600
Ember,Credits,25000
Ember,Ember Chassis,1
Ember,Ember Neuroptics,1
Ember,Ember Systems,1
Ember Neuroptics,Credits,15000
Ember Neuroptics,Alloy Plate,150
Ember Neuroptics,Neural Sensors,1
Ember Neuroptics,Polymer Bundle,150
Ember Neuroptics,Rubedo,500
Ember Chassis,Credits,15000
Ember Chassis,Morphics,1
Ember Chassis,Ferrite,1000
Ember Chassis,Rubedo,300
Ember Systems,Credits,15000
Ember Systems,Control Module,1
Ember Systems,Morphics,1
Ember Systems,Salvage,500
Ember Systems,Plastids,220
Khora,Credits,25000
Khora,Khora Chassis,1
Khora,Khora Neuroptics,1
Khora,Khora Systems,1
Khora Neuroptics,Credits,15000
Khora Neuroptics,Kavat Gene Strain,2
Khora Neuroptics,Forest Rodent Spine,35
Khora Neuroptics,Polymer Bundle,1500
Khora Neuroptics,Salvage,16000
Khora Chassis,Credits,15000
Khora Chassis,Kavat Gene Strain,5
Khora Chassis,Iradite,65
Khora Chassis,Alloy Plate,12250
Khora Chassis,Rubedo,4300
Khora Systems,Credits,15000
Khora Systems,Kavat Gene Strain,2
Khora Systems,Plastids,1000
Khora Systems,Circuits,2600
Khora Systems,Ferrite,11500
Valkyr,Credits,25000
Valkyr,Valkyr Chassis,1
Valkyr,Valkyr Neuroptics,1
Valkyr,Valkyr Systems,1
Valkyr Neuroptics,Credits,15000
Valkyr Neuroptics,Circuits,150
Valkyr Neuroptics,Neural Sensors,1
Valkyr Neuroptics,Polymer Bundle,200
Valkyr Neuroptics,Salvage,500
Valkyr Chassis,Credits,15000
Valkyr Chassis,Morphics,1
Valkyr Chassis,Ferrite,900
Valkyr Chassis,Rubedo,50
Valkyr Systems,Credits,15000
Valkyr Systems,Control Module,1
Valkyr Systems,Morphics,1
Valkyr Systems,Salvage,500
Valkyr Systems,Plastids,400
Mesa,Credits,25000
Mesa,Mesa Chassis,1
Mesa,Mesa Neuroptics,1
Mesa,Mesa Systems,1
Mesa Neuroptics,Credits,15000
Mesa Neuroptics,Alloy Plate,1500
Mesa Neuroptics,Neural Sensors,2
Mesa Neuroptics,Polymer Bundle,350
Mesa Neuroptics,Plastids,500
Mesa Chassis,Credits,15000
Mesa Chassis,Morphics,1
Mesa Chassis,Oxium,50
Mesa Chassis,Plastids,300
Mesa Chassis,Nano Spores,1000
Mesa Systems,Credits,15000
Mesa Systems,Argon Crystal,1
Mesa Systems,Nano Spores,1600
Mesa Systems,Polymer Bundle,300
Mesa Systems,Circuits,500
Titania,Credits,25000
Titania,Titania Chassis,1
Titania,Titania Neuroptics,1
Titania,Titania Systems,1
Titania Neuroptics,Credits,15000
Titania Neuroptics,Alloy Plate,1500
Titania Neuroptics,Neurodes,2
Titania Neuroptics,Polymer Bundle,2500
Titania Neuroptics,Circuits,700
Titania Chassis,Credits,15000
Titania Chassis,Nitain Extract,3
Titania Chassis,Ferrite,3000
Titania Chassis,Rubedo,900
Titania Chassis,Tellurium,1
Titania Systems,Credits,15000
Titania Systems,Control Module,1
Titania Systems,Plastids,800
Titania Systems,Cryotic,2200
Titania Systems,Tellurium,1
Nidus,Credits,25000
Nidus,Nidus Chassis,1
Nidus,Nidus Neuroptics,1
Nidus,Nidus Systems,1
Nidus Neuroptics,Credits,15000
Nidus Neuroptics,Mutagen Sample,10
Nidus Neuroptics,Plastids,1000
Nidus Neuroptics,Polymer Bundle,2600
Nidus Neuroptics,Neural Sensors,3
Nidus Chassis,Credits,15000
Nidus Chassis,Polymer Bundle,6000
Nidus Chassis,Plastids,1400
Nidus Chassis,Nano Spores,5000
Nidus Chassis,Neurodes,3
Nidus Systems,Credits,15000
Nidus Systems,Nano Spores,6000
Nidus Systems,Circuits,3500
Nidus Systems,Morphics,14
Nidus Systems,Orokin Cell,6
Ivara,Credits,25000
Ivara,Ivara Chassis,1
Ivara,Ivara Neuroptics,1
Ivara,Ivara Systems,1
Ivara Neuroptics,Credits,15000
Ivara Neuroptics,Neurodes,5
Ivara Neuroptics,Plastids,800
Ivara Neuroptics,Polymer Bundle,2600
Ivara Neuroptics,Argon Crystal,2
Ivara Chassis,Credits,15000
Ivara Chassis,Morphics,5
Ivara Chassis,Cryotic,2000
Ivara Chassis,Rubedo,700
Ivara Chassis,Nitain Extract,4
Ivara Systems,Credits,15000
Ivara Systems,Control Module,5
Ivara Systems,Rubedo,1000
Ivara Systems,Nitain Extract,5
Ivara Systems,Argon Crystal,1
Octavia,Credits,25000
Octavia,Octavia Chassis,1
Octavia,Octavia Neuroptics,1
Octavia,Octavia Systems,1
Octavia Neuroptics,Credits,15000
Octavia Neuroptics,Oxium,1000
Octavia Neuroptics,Plastids,2600
Octavia Neuroptics,Polymer Bundle,4800
Octavia Neuroptics,Neural Sensors,5
Octavia Chassis,Credits,15000
Octavia Chassis,Polymer Bundle,6000
Octavia Chassis,Plastids,1500
Octavia Chassis,Salvage,25000
Octavia Chassis,Neurodes,3
Octavia Systems,Credits,15000
Octavia Systems,Kuva,2000
Octavia Systems,Morphics,20
Octavia Systems,Circuits,3000
Octavia Systems,Orokin Cell,5
Excalibur,Credits,25000
Excalibur,Excalibur Chassis,1
Excalibur,Excalibur Neuroptics,1
Excalibur,Excalibur Systems,1
Excalibur Neuroptics,Credits,15000
Excalibur Neuroptics,Alloy Plate,150
Excalibur Neuroptics,Neural Sensors,1
Excalibur Neuroptics,Polymer Bundle,150
Excalibur Neuroptics,Rubedo,500
Excalibur Chassis,Credits,15000
Excalibur Chassis,Morphics,1
Excalibur Chassis,Ferrite,1000
Excalibur Chassis,Rubedo,300
Excalibur Systems,Credits,15000
Excalibur Systems,Control Module,1
Excalibur Systems,Morphics,1
Excalibur Systems,Salvage,500
Excalibur Systems,Plastids,220
Sevagoth,Credits,25000
Sevagoth,Sevagoth Chassis,1
Sevagoth,Sevagoth Neuroptics,1
Sevagoth,Sevagoth Systems,1
Sevagoth Neuroptics,Credits,15000
Sevagoth Neuroptics,Neural Sensors,6
Sevagoth Neuroptics,Titanium,1200
Sevagoth Neuroptics,Rubedo,750
Sevagoth Neuroptics,Salvage,2750
Sevagoth Chassis,Credits,15000
Sevagoth Chassis,Morphics,8
Sevagoth Chassis,Cryotic,650
Sevagoth Chassis,Nullstones,2
Sevagoth Chassis,Alloy Plate,3300
Sevagoth Systems,Credits,15000
Sevagoth Systems,Argon Crystal,2
Sevagoth Systems,Oxium,250
Sevagoth Systems,Asterite,15
Sevagoth Systems,Nano Spores,2950
Nekros,Credits,25000
Nekros,Nekros Chassis,1
Nekros,Nekros Neuroptics,1
Nekros,Nekros Systems,1
Nekros Neuroptics,Credits,15000
Nekros Neuroptics,Alloy Plate,150
Nekros Neuroptics,Neural Sensors,1
Nekros Neuroptics,Polymer Bundle,150
Nekros Neuroptics,Rubedo,500
Nekros Chassis,Credits,15000
Nekros Chassis,Morphics,1
Nekros Chassis,Ferrite,1000
Nekros Chassis,Rubedo,300
Nekros Systems,Credits,15000
Nekros Systems,Control Module,1
Nekros Systems,Morphics,1
Nekros Systems,Salvage,500
Nekros Systems,Plastids,220
Ash,Credits,25000
Ash,Ash Chassis,1
Ash,Ash Neuroptics,1
Ash,Ash Systems,1
Ash Neuroptics,Credits,15000
Ash Neuroptics,Alloy Plate,150
Ash Neuroptics,Neural Sensors,1
Ash Neuroptics,Polymer Bundle,150
Ash Neuroptics,Rubedo,500
Ash Chassis,Credits,15000
Ash Chassis,Morphics,1
Ash Chassis,Ferrite,1000
Ash Chassis,Rubedo,300
Ash Systems,Credits,15000
Ash Systems,Control Module,1
Ash Systems,Morphics,1
Ash Systems,Salvage,500
Ash Systems,Plastids,500
Xaku,Credits,25000
Xaku,Xaku Chassis,1
Xaku,Xaku Neuroptics,1
Xaku,Xaku Systems,1
Xaku Neuroptics,Credits,15000
Xaku Neuroptics,Neural Sensors,10
Xaku Neuroptics,Thaumic Distillate,60
Xaku Neuroptics,Sharrac Teeth,20
Xaku Neuroptics,Esher Devar,40
Xaku Chassis,Credits,15000
Xaku Chassis,Gyromag Systems,5
Xaku Chassis,Spinal Core Section,3
Xaku Chassis,Venerdo Alloy,50
Xaku Chassis,Lucent Teroglobe,50
Xaku Systems,Credits,15000
Xaku Systems,Breath Of The Eidolon,10
Xaku Systems,Scintillant,5
Xaku Systems,Pustulite,45
Xaku Systems,Ganglion,60
Rhino,Credits,25000
Rhino,Rhino Chassis,1
Rhino,Rhino Neuroptics,1
Rhino,Rhino Systems,1
Rhino Neuroptics,Credits,15000
Rhino Neuroptics,Alloy Plate,150
Rhino Neuroptics,Morphics,1
Rhino Neuroptics,Polymer Bundle,150
Rhino Neuroptics,Rubedo,500
Rhino Chassis,Credits,15000
Rhino Chassis,Morphics,1
Rhino Chassis,Ferrite,1000
Rhino Chassis,Rubedo,300
Rhino Systems,Credits,15000
Rhino Systems,Gallium,1
Rhino Systems,Morphics,1
Rhino Systems,Salvage,500
Rhino Systems,Plastids,600
Grendel,Credits,35000
Grendel,Grendel Chassis,1
Grendel,Grendel Neuroptics,1
Grendel,Grendel Systems,1
Grendel Neuroptics,Credits,15000
Grendel Neuroptics,Argon Crystal,2
Grendel Neuroptics,Control Module,5
Grendel Neuroptics,Ferrite,3500
Grendel Neuroptics,Alloy Plate,3800
Grendel Chassis,Credits,15000
Grendel Chassis,Icon Condroc Wing,25
Grendel Chassis,Forest Rodent Spine,30
Grendel Chassis,Tralok Eyes,20
Grendel Chassis,Murkray Liver,15
Grendel Systems,Credits,15000
Grendel Systems,Circuits,1125
Grendel Systems,Morphics,10
Grendel Systems,Icon Fish Meat,125
Grendel Systems,Icon Fish Oil,100
Zephyr,Credits,25000
Zephyr,Zephyr Chassis,1
Zephyr,Zephyr Neuroptics,1
Zephyr,Zephyr Systems,1
Zephyr Neuroptics,Credits,15000
Zephyr Neuroptics,Circuits,150
Zephyr Neuroptics,Oxium,200
Zephyr Neuroptics,Polymer Bundle,200
Zephyr Neuroptics,Salvage,500
Zephyr Chassis,Credits,15000
Zephyr Chassis,Oxium,200
Zephyr Chassis,Nano Spores,900
Zephyr Chassis,Rubedo,50
Zephyr Systems,Credits,15000
Zephyr Systems,Control Module,1
Zephyr Systems,Oxium,200
Zephyr Systems,Polymer Bundle,500
Zephyr Systems,Plastids,400
Wisp,Credits,25000
Wisp,Wisp Chassis,1
Wisp,Wisp Neuroptics,1
Wisp,Wisp Systems,1
Wisp Neuroptics,Credits,15000
Wisp Neuroptics,Hexenon,300
Wisp Neuroptics,Tellurium,2
Wisp Neuroptics,Plastids,950
Wisp Neuroptics,Polymer Bundle,2200
Wisp Chassis,Credits,15000
Wisp Chassis,Hexenon,500
Wisp Chassis,Argon Crystal,1
Wisp Chassis,Oxium,700
Wisp Chassis,Alloy Plate,2750
Wisp Systems,Credits,15000
Wisp Systems,Hexenon,400
Wisp Systems,Nitain Extract,2
Wisp Systems,Rubedo,950
Wisp Systems,Salvage,10000
Yareli,Credits,25000
Yareli,Yareli Chassis,1
Yareli,Yareli Neuroptics,1
Yareli,Yareli Systems,1
Yareli Neuroptics,Credits,15000
Yareli Neuroptics,Argon Crystal,2
Yareli Neuroptics,Plastids,150
Yareli Neuroptics,Salvage,875
Yareli Neuroptics,Heart Noctrul,10
Yareli Chassis,Credits,15000
Yareli Chassis,Tellurium,2
Yareli Chassis,Venerdo Alloy,20
Yareli Chassis,Circuits,350
Yareli Chassis,Nano Spores,1500
Yareli Systems,Credits,15000
Yareli Systems,Nitain Extract,2
Yareli Systems,Cryotic,350
Yareli Systems,Exa Brain,5
Yareli Systems,Alloy Plate,1750
Gara,Credits,25000
Gara,Gara Chassis,1
Gara,Gara Neuroptics,1
Gara,Gara Systems,1
Gara Neuroptics,Credits,15000
Gara Neuroptics,Pyrotic Alloy,90
Gara Neuroptics,Grokdrul,65
Gara Neuroptics,Circuits,700
Gara Neuroptics,Neurodes,2
Gara Chassis,Credits,15000
Gara Chassis,Cetus Wisp,2
Gara Chassis,Coprite Alloy,120
Gara Chassis,Iradite,55
Gara Chassis,Rubedo,800
Gara Systems,Credits,15000
Gara Systems,Morphics,2
Gara Systems,Charc Electroplax,35
Gara Systems,Esher Devar,25
Gara Systems,Circuits,850
Hildryn,Credits,25000
Hildryn,Hildryn Chassis,1
Hildryn,Hildryn Neuroptics,1
Hildryn,Hildryn Systems,1
Hildryn Neuroptics,Credits,15000
Hildryn Neuroptics,Lazulite Toroid,2
Hildryn Neuroptics,Argon Crystal,1
Hildryn Neuroptics,Mytocardia Spore,85
Hildryn Neuroptics,Circuits,1600
Hildryn Chassis,Credits,15000
Hildryn Chassis,Lazulite Toroid,2
Hildryn Chassis,Nitain Extract,2
Hildryn Chassis,Thermal Sludge,90
Hildryn Chassis,Rubedo,2300
Hildryn Systems,Credits,15000
Hildryn Systems,Lazulite Toroid,2
Hildryn Systems,Tellurium,2
Hildryn Systems,Gorgaricus Spore,95
Hildryn Systems,Plastids,1500
Vauban,Credits,25000
Vauban,Vauban Chassis,1
Vauban,Vauban Neuroptics,1
Vauban,Vauban Systems,1
Vauban Neuroptics,Credits,15000
Vauban Neuroptics,Alloy Plate,150
Vauban Neuroptics,Neural Sensors,1
Vauban Neuroptics,Polymer Bundle,150
Vauban Neuroptics,Rubedo,500
Vauban Chassis,Credits,15000
Vauban Chassis,Morphics,1
Vauban Chassis,Ferrite,1000
Vauban Chassis,Rubedo,300
Vauban Systems,Credits,15000
Vauban Systems,Control Module,1
Vauban Systems,Morphics,1
Vauban Systems,Salvage,500
Vauban Systems,Plastids,220
Hydroid,Credits,25000
Hydroid,Hydroid Chassis,1
Hydroid,Hydroid Neuroptics,1
Hydroid,Hydroid Systems,1
Hydroid Neuroptics,Credits,15000
Hydroid Neuroptics,Alloy Plate,150
Hydroid Neuroptics,Control Module,1
Hydroid Neuroptics,Polymer Bundle,150
Hydroid Neuroptics,Argon Crystal,2
Hydroid Chassis,Credits,15000
Hydroid Chassis,Nano Spores,1200
Hydroid Chassis,Polymer Bundle,1000
Hydroid Chassis,Rubedo,300
Hydroid Chassis,Argon Crystal,2
Hydroid Systems,Credits,15000
Hydroid Systems,Orokin Cell,1
Hydroid Systems,Gallium,4
Hydroid Systems,Polymer Bundle,500
Hydroid Systems,Alloy Plate,220
Oberon,Credits,25000
Oberon,Oberon Chassis,1
Oberon,Oberon Neuroptics,1
Oberon,Oberon Systems,1
Oberon Neuroptics,Credits,15000
Oberon Neuroptics,Alloy Plate,150
Oberon Neuroptics,Control Module,1
Oberon Neuroptics,Polymer Bundle,150
Oberon Neuroptics,Circuits,500
Oberon Chassis,Credits,15000
Oberon Chassis,Gallium,1
Oberon Chassis,Polymer Bundle,1000
Oberon Chassis,Rubedo,300
Oberon Systems,Credits,15000
Oberon Systems,Orokin Cell,1
Oberon Systems,Gallium,1
Oberon Systems,Polymer Bundle,500
Oberon Systems,Alloy Plate,220
Frost,Credits,25000
Frost,Frost Chassis,1
Frost,Frost Neuroptics,1
Frost,Frost Systems,1
Frost Neuroptics,Credits,15000
Frost Neuroptics,Alloy Plate,150
Frost Neuroptics,Neural Sensors,1
Frost Neuroptics,Polymer Bundle,150
Frost Neuroptics,Rubedo,500
Frost Chassis,Credits,15000
Frost Chassis,Morphics,1
Frost Chassis,Ferrite,1000
Frost Chassis,Rubedo,300
Frost Systems,Credits,15000
Frost Systems,Control Module,1
Frost Systems,Morphics,1
Frost Systems,Salvage,500
Frost Systems,Plastids,500
Limbo,Credits,25000
Limbo,Limbo Chassis,1
Limbo,Limbo Neuroptics,1
Limbo,Limbo Systems,1
Limbo Neuroptics,Credits,15000
Limbo Neuroptics,Alloy Plate,150
Limbo Neuroptics,Polymer Bundle,150
Limbo Neuroptics,Rubedo,500
Limbo Neuroptics,Neurodes,2
Limbo Chassis,Credits,15000
Limbo Chassis,Neural Sensors,1
Limbo Chassis,Rubedo,300
Limbo Chassis,Ferrite,1000
Limbo Chassis,Argon Crystal,1
Limbo Systems,Credits,15000
Limbo Systems,Control Module,1
Limbo Systems,Morphics,3
Limbo Systems,Salvage,500
Limbo Systems,Plastids,220
Trinity,Credits,25000
Trinity,Trinity Chassis,1
Trinity,Trinity Neuroptics,1
Trinity,Trinity Systems,1
Trinity Neuroptics,Credits,15000
Trinity Neuroptics,Alloy Plate,150
Trinity Neuroptics,Neural Sensors,1
Trinity Neuroptics,Polymer Bundle,150
Trinity Neuroptics,Rubedo,500
Trinity Chassis,Credits,15000
Trinity Chassis,Morphics,1
Trinity Chassis,Ferrite,1000
Trinity Chassis,Rubedo,300
Trinity Systems,Credits,15000
Trinity Systems,Control Module,1
Trinity Systems,Morphics,1
Trinity Systems,Salvage,500
Trinity Systems,Plastids,220
Nyx,Credits,25000
Nyx,Nyx Chassis,1
Nyx,Nyx Neuroptics,1
Nyx,Nyx Systems,1
Nyx Neuroptics,Credits,15000
Nyx Neuroptics,Alloy Plate,150
Nyx Neuroptics,Neural Sensors,1
Nyx Neuroptics,Polymer Bundle,150
Nyx Neuroptics,Rubedo,500
Nyx Chassis,Credits,15000
Nyx Chassis,Morphics,1
Nyx Chassis,Ferrite,1000
Nyx Chassis,Rubedo,300
Nyx Systems,Credits,15000
Nyx Systems,Control Module,1
Nyx Systems,Morphics,1
Nyx Systems,Salvage,500
Nyx Systems,Plastids,220
Harrow,Credits,25000
Harrow,Harrow Chassis,1
Harrow,Harrow Neuroptics,1
Harrow,Harrow Systems,1
Harrow Neuroptics,Credits,15000
Harrow Neuroptics,Rubedo,1500
Harrow Neuroptics,Polymer Bundle,4000
Harrow Neuroptics,Plastids,2000
Harrow Neuroptics,Neural Sensors,5
Harrow Chassis,Credits,15000
