PlanetName,MissionName,MissionType
Mercury,Suisei,Spy
Mercury,Lares,Defense
Mercury,M Prime,Exterminate
Mercury,Pantheon,Exterminate
Mercury,Elion,Capture
Mercury,Apollodorus,Survival
Mercury,Odin,Interception
Neptune,The Index: Endurance,Arena
Neptune,Pluto Junction,Solar Rail Junction
Neptune,Yursa,Defection
Neptune,Triton,Rescue
Neptune,Psamathe,Assassination
Neptune,Proteus,Defense
Neptune,Neso,Exterminate
Neptune,Sao,Sabotage
Neptune,Kelashin,Survival
Neptune,Despina,Excavation
Neptune,Laomedeia,Disruption
Neptune,Nereid,Spy
Neptune,Salacia,Mobile Defense
Neptune,Larissa,Mobile Defense
Neptune,Galatea,Capture
Phobos,Memphis,Defection
Phobos,Roche,Exterminate
Phobos,Sharpless,Mobile Defense
Phobos,Skyresh,Capture
Phobos,Zeugma,Survival
Phobos,Monolith,Rescue
Phobos,Iliad,Assassination
Phobos,Shklovsky,Spy
Phobos,Stickney,Survival
Phobos,Gulliver,Defense
Phobos,Kepler,Rush
Pluto,Hades,Assassination
Pluto,Hydra,Capture
Pluto,Minthe,Mobile Defense
Pluto,Outer Terminus,Defense
Pluto,Cypress,Sabotage
Pluto,Regna,Rescue
Pluto,Oceanum,Spy
Pluto,Palus,Survival
Pluto,Acheron,Exterminate
Pluto,Narcissus,Exterminate
Pluto,Sechura,Defense
Pluto,Hieracon,Excavation
Pluto,Cerberus,Interception
Pluto,Eris Junction,Solar Rail Junction
Pluto,Sedna Junction,Solar Rail Junction
Saturn,Enceladus,Sabotage
Saturn,Pandora,Pursuit
Saturn,Keeler,Mobile Defense
Saturn,Numa,Rescue
Saturn,Uranus Junction,Solar Rail Junction
Saturn,Rhea,Interception
Saturn,Piscinas,Survival
Saturn,Tethys,Assassination
Saturn,Anthe,Rescue
Saturn,Caracol,Defection
Saturn,Calypso,Sabotage
Saturn,Helene,Defense
Saturn,Titan,Survival
Saturn,Telesto,Exterminate
Saturn,Dione,Spy
Saturn,Cassini,Capture
Sedna,Rusalka,Sabotage
Sedna,Kelpie,Spy
Sedna,Marid,Hijack
Sedna,Kappa,Disruption
Sedna,Vodyanoi,Rathuum
Sedna,Yam,Rathuum
Sedna,Hydron,Defense
Sedna,Berehynia,Interception
Sedna,Sangeru,Defense
Sedna,Adaro,Exterminate
Sedna,Amarna,Survival
Sedna,Naga,Rescue
Sedna,Merrow,Assassination
Sedna,Selkie,Survival
Sedna,Nakki,Rathuum
Sedna,Charybdis,Mobile Defense
Uranus,Ophelia,Survival
Uranus,Ariel,Capture
Uranus,Ur,Disruption
Uranus,Neptune Junction,Solar Rail Junction
Uranus,Stephano,Defense
Uranus,Cressida,Mobile Defense
Uranus,Titania,Assassination
Uranus,Caliban,Rescue
Uranus,Assur,Survival
Uranus,Rosalind,Spy
Uranus,Desdemona,Sabotage
Uranus,Umbriel,Interception
Uranus,Sycorax,Exterminate
Uranus,Puck,Exterminate
Uranus,Caelus,Interception
Venus,Orb Vallis,Free Roam
Venus,Cytherean,Interception
Venus,Romula,Defense
Venus,Montes,Exterminate
Venus,E Gate,Exterminate
Venus,Linea,Rescue
Venus,Unda,Spy
Venus,Aphrodite,Mobile Defense
Venus,Venera,Capture
Venus,Ishtar,Sabotage
Venus,Malva,Survival
Venus,Mercury Junction,Solar Rail Junction
Venus,Kiliken,Excavation
Venus,Tessera,Defense
Venus,Fossa,Assassination
Venus,V Prime,Survival
Void,Hepit,Capture
Void,Tiwaz,Mobile Defense
Void,Taranis,Defense
Void,Stribog,Sabotage
Void,Mot,Survival
Void,Marduk,Sabotage
Void,Ukko,Capture
Void,Oxomoco,Exterminate
Void,Belenus,Defense
Void,Aten,Mobile Defense
Void,Mithra,Interception
Void,Ani,Survival
Void,Teshub,Exterminate
Saturn Proxima,Mordo Cluster,Skirmish
Saturn Proxima,Lupal Pass,Skirmish
Saturn Proxima,Nodo Gap,Skirmish
Saturn Proxima,Vand Cluster,Skirmish
Saturn Proxima,Kasio’s Rest,Skirmish
Venus Proxima,Beacon Shield Ring,Volatile
Venus Proxima,Vesper Strait,Orphix
Venus Proxima,Luckless Expanse,Survival
Venus Proxima,Falling Glory,Defense
Venus Proxima,Bifrost Echo,Exterminate
Venus Proxima,Orvin-Haarch,Spy
Pluto Proxima,Khufu Envoy,Orphix
Pluto Proxima,Obol Crossing,Defense
Pluto Proxima,Profit Margin,Volatile
Pluto Proxima,Peregrine Axis,Spy
Pluto Proxima,Seven Sirens,Exterminate
Pluto Proxima,Fenton’s Field,Survival
Neptune Proxima,Arva Vector,Defense
Neptune Proxima,Nu-Gua Mines,Exterminate
Neptune Proxima,Mammon’s Prospect,Orphix
Neptune Proxima,Brom Cluster,Spy
Neptune Proxima,Enkidu Ice Drifts,Survival
Neptune Proxima,Sovereign Grasp,Volatile
Earth Proxima,Free Flight,Free Space
Earth Proxima,Sover Strait,Skirmish
Earth Proxima,Iota Temple,Skirmish
Earth Proxima,Ogal Cluster,Skirmish
Earth Proxima,Korm’s Belt,Skirmish
Earth Proxima,Bendar Cluster,Skirmish
Veil Proxima,Calabash,Exterminate
Veil Proxima,Numina,Volatile
Veil Proxima,Arc Silver,Defense
Veil Proxima,Erato,Orphix
Veil Proxima,Lu-Yan,Survival
Veil Proxima,Sabmir Cloud,Spy
Veil Proxima,H-2 Cloud,Skirmish
Veil Proxima,Nsu Grid,Skirmish
Veil Proxima,Flexa,Skirmish
Veil Proxima,R-9 Cloud,Skirmish
