web-scraper-order,web-scraper-start-url,warframepagelinks,warframepagelinks-href,Source,Chance,primerelicdrops,researchsource,market,invasion,syndicate,barokiteer,kuva
"1637016646-61","https://warframe.fandom.com/wiki/Warframes_Comparison","Revenant","https://warframe.fandom.com/wiki/Revenant","Neuroptics Blueprint
(Stage 4, Lvl 40-60)","6.76%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Chassis Blueprint<br>(Stage 2, Lvl 30-50)
</td>
<td style=""text-align:center"">8.51%
</td>
<td rowspan=""4"" style=""text-align:center"">2&nbsp;–&nbsp;3 Bounties
</td>
<td rowspan=""4"" style=""text-align:center"">12&nbsp;±&nbsp;4 Bounties
</td></tr>
<tr>
<td>Chassis Blueprint<br>(Stage 3, Lvl 30-50)
</td>
<td style=""text-align:center"">8.51%
</td></tr>
<tr>
<td>Chassis Blueprint<br>(Stage 4, Lvl 30-50)
</td>
<td style=""text-align:center"">8.33%
</td></tr>
<tr>
<td>Chassis Blueprint<br>(Stage 5, Lvl 30-50)
</td>
<td style=""text-align:center"">19.05%
</td></tr>
<tr>
<td>Neuroptics Blueprint<br>(Stage 4, Lvl 40-60)
</td>
<td style=""text-align:center"">6.76%
</td>
<td rowspan=""2"" style=""text-align:center"">5&nbsp;–&nbsp;6 Bounties
</td>
<td rowspan=""2"" style=""text-align:center"">37&nbsp;±&nbsp;12 Bounties
</td></tr>
<tr>
<td>Neuroptics Blueprint<br>(Stage 5, Lvl 40-60)
</td>
<td style=""text-align:center"">10.2%
</td></tr>
<tr>
<td>Systems Blueprint<br>(Stage 2, Lvl 20-40)
</td>
<td style=""text-align:center"">8.42%
</td>
<td rowspan=""3"" style=""text-align:center"">2&nbsp;–&nbsp;3 Bounties
</td>
<td rowspan=""3"" style=""text-align:center"">15&nbsp;±&nbsp;5 Bounties
</td></tr>
<tr>
<td>Systems Blueprint<br>(Stage 3, Lvl 20-40)
</td>
<td style=""text-align:center"">8.42%
</td></tr>
<tr>
<td>Systems Blueprint<br>(Stage 4, Lvl 20-40)
</td>
<td style=""text-align:center"">20.51%
</td></tr>","null","null","null","Syndicate","null","null"
"1637016781-186","https://warframe.fandom.com/wiki/Warframes_Comparison","Frost Prime","https://warframe.fandom.com/wiki/Frost_Prime","null","null","<tr>
<th style=""text-align:center;"">Chassis Blueprint
</th>
<th style=""text-align:center;"">Systems Blueprint
</th>
<th style=""text-align:center;"">Blueprint
</th>
<th style=""text-align:center;"">Neuroptics Blueprint
</th></tr>
<tr>
<td style=""text-align:center; font-size:12px;""><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Lith G1"" data-param2=""Void""><a href=""/wiki/Lith_G1""><img alt=""VoidRelicIronIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicIronIcon64.png"" data-image-key=""VoidRelicIronIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/6/66/VoidRelicIronIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191800"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Lith_G1""><span style=""border-bottom:2px dotted;"">Lith&nbsp;G1</span></a></span> Common (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)<br><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Meso E1"" data-param2=""Void""><a href=""/wiki/Meso_E1""><img alt=""VoidRelicBronzeIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicBronzeIcon64.png"" data-image-key=""VoidRelicBronzeIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/5/5d/VoidRelicBronzeIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191756"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Meso_E1""><span style=""border-bottom:2px dotted;"">Meso&nbsp;E1</span></a></span> Common (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)
</td>
<td style=""text-align:center; font-size:12px;""><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Lith G2"" data-param2=""Void""><a href=""/wiki/Lith_G2""><img alt=""VoidRelicIronIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicIronIcon64.png"" data-image-key=""VoidRelicIronIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/6/66/VoidRelicIronIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191800"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Lith_G2""><span style=""border-bottom:2px dotted;"">Lith&nbsp;G2</span></a></span> Uncommon (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)<br><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Neo S5"" data-param2=""Void""><a href=""/wiki/Neo_S5""><img alt=""VoidRelicSilverIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicSilverIcon64.png"" data-image-key=""VoidRelicSilverIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/7/78/VoidRelicSilverIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191802"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Neo_S5""><span style=""border-bottom:2px dotted;"">Neo&nbsp;S5</span></a></span> Uncommon (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)
</td>
<td style=""text-align:center; font-size:12px;""><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Meso F2"" data-param2=""Void""><a href=""/wiki/Meso_F2""><img alt=""VoidRelicBronzeIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicBronzeIcon64.png"" data-image-key=""VoidRelicBronzeIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/5/5d/VoidRelicBronzeIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191756"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Meso_F2""><span style=""border-bottom:2px dotted;"">Meso&nbsp;F2</span></a></span> Rare (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)<br><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Meso F3"" data-param2=""Void""><a href=""/wiki/Meso_F3""><img alt=""VoidRelicBronzeIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicBronzeIcon64.png"" data-image-key=""VoidRelicBronzeIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/5/5d/VoidRelicBronzeIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191756"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Meso_F3""><span style=""border-bottom:2px dotted;"">Meso&nbsp;F3</span></a></span> Rare (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)<br><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Neo F1"" data-param2=""Void""><a href=""/wiki/Neo_F1""><img alt=""VoidRelicSilverIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicSilverIcon64.png"" data-image-key=""VoidRelicSilverIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/7/78/VoidRelicSilverIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191802"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Neo_F1""><span style=""border-bottom:2px dotted;"">Neo&nbsp;F1</span></a></span> Rare (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)
</td>
<td style=""text-align:center; font-size:12px;""><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Axi E1"" data-param2=""Void""><a href=""/wiki/Axi_E1""><img alt=""VoidRelicGoldIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicGoldIcon64.png"" data-image-key=""VoidRelicGoldIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/9/96/VoidRelicGoldIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191758"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Axi_E1""><span style=""border-bottom:2px dotted;"">Axi&nbsp;E1</span></a></span> Common (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)<br><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Neo E1"" data-param2=""Void""><a href=""/wiki/Neo_E1""><img alt=""VoidRelicSilverIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicSilverIcon64.png"" data-image-key=""VoidRelicSilverIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/7/78/VoidRelicSilverIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191802"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Neo_E1""><span style=""border-bottom:2px dotted;"">Neo&nbsp;E1</span></a></span> Common (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)
</td></tr>","null","null","null","null","null","null"
"1637016632-44","https://warframe.fandom.com/wiki/Warframes_Comparison","Sevagoth","https://warframe.fandom.com/wiki/Sevagoth","Chassis Blueprint","10%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Chassis Blueprint
</td>
<td style=""text-align:center"">10%
</td>
<td rowspan=""3"" style=""text-align:center"">18&nbsp;–&nbsp;19
</td>
<td rowspan=""3"" style=""text-align:center"">76&nbsp;±&nbsp;22
</td></tr>
<tr>
<td>Neuroptics Blueprint
</td>
<td style=""text-align:center"">10%
</td></tr>
<tr>
<td>Systems Blueprint
</td>
<td style=""text-align:center"">10%
</td></tr>","null","null","null","null","null","Kuva Lich"
"1637016589-23","https://warframe.fandom.com/wiki/Warframes_Comparison","Wisp","https://warframe.fandom.com/wiki/Wisp","Neuroptics Blueprint","25.81%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Main Blueprint
</td>
<td style=""text-align:center"">22.56%
</td>
<td rowspan=""4"" style=""text-align:center"">8&nbsp;–&nbsp;9
</td>
<td rowspan=""4"" style=""text-align:center"">29&nbsp;±&nbsp;8
</td></tr>
<tr>
<td>Chassis Blueprint
</td>
<td style=""text-align:center"">25.81%
</td></tr>
<tr>
<td>Neuroptics Blueprint
</td>
<td style=""text-align:center"">25.81%
</td></tr>
<tr>
<td>Systems Blueprint
</td>
<td style=""text-align:center"">25.81%
</td></tr>","null","null","null","null","null","null"
"1637016648-67","https://warframe.fandom.com/wiki/Warframes_Comparison","Protea","https://warframe.fandom.com/wiki/Protea","Chassis Blueprint
(Extended)","11.11%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Neuroptics Blueprint
</td>
<td style=""text-align:center"">11.11%
</td>
<td rowspan=""1"" style=""text-align:center"">9&nbsp;–&nbsp;10 C Rotations
</td>
<td rowspan=""1"" style=""text-align:center"">59&nbsp;±&nbsp;20 C Rotations
</td></tr>
<tr>
<td>Chassis Blueprint<br>(Extended)
</td>
<td style=""text-align:center"">11.11%
</td>
<td rowspan=""1"" style=""text-align:center"">9&nbsp;–&nbsp;10 C Rotations
</td>
<td rowspan=""1"" style=""text-align:center"">59&nbsp;±&nbsp;20 C Rotations
</td></tr>
<tr>
<td>Systems Blueprint<br>(Nightmare)
</td>
<td style=""text-align:center"">11.11%
</td>
<td rowspan=""1"" style=""text-align:center"">9&nbsp;–&nbsp;10 C Rotations
</td>
<td rowspan=""1"" style=""text-align:center"">59&nbsp;±&nbsp;20 C Rotations
</td></tr>","null","null","null","null","null","null"
"1637016715-117","https://warframe.fandom.com/wiki/Warframes_Comparison","Loki","https://warframe.fandom.com/wiki/Loki","null","null","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Chassis Blueprint
</td>
<td style=""text-align:center"">38.72%
</td>
<td rowspan=""3"" style=""text-align:center"">6&nbsp;–&nbsp;7
</td>
<td rowspan=""3"" style=""text-align:center"">27&nbsp;±&nbsp;9
</td></tr>
<tr>
<td>Neuroptics Blueprint
</td>
<td style=""text-align:center"">38.72%
</td></tr>
<tr>
<td>Systems Blueprint
</td>
<td style=""text-align:center"">22.56%
</td></tr>","null","can be purchased from the Market","null","null","null","null"
"1637016778-166","https://warframe.fandom.com/wiki/Warframes_Comparison","Gara","https://warframe.fandom.com/wiki/Gara","Neuroptics Blueprint
(Stage 2, Lvl 20-40)","8.42%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Chassis Blueprint<br>(Stage 2, Lvl 5-15)
</td>
<td style=""text-align:center"">7.52%
</td>
<td rowspan=""2"" style=""text-align:center"">2&nbsp;–&nbsp;3 Bounties
</td>
<td rowspan=""2"" style=""text-align:center"">14&nbsp;±&nbsp;5 Bounties
</td></tr>
<tr>
<td>Chassis Blueprint<br>(Stage 3, Lvl 5-15)
</td>
<td style=""text-align:center"">30.56%
</td></tr>
<tr>
<td>Neuroptics Blueprint<br>(Stage 2, Lvl 20-40)
</td>
<td style=""text-align:center"">8.42%
</td>
<td rowspan=""3"" style=""text-align:center"">2&nbsp;–&nbsp;3 Bounties
</td>
<td rowspan=""3"" style=""text-align:center"">15&nbsp;±&nbsp;5 Bounties
</td></tr>
<tr>
<td>Neuroptics Blueprint<br>(Stage 3, Lvl 20-40)
</td>
<td style=""text-align:center"">8.42%
</td></tr>
<tr>
<td>Neuroptics Blueprint<br>(Stage 4, Lvl 20-40)
</td>
<td style=""text-align:center"">20.51%
</td></tr>
<tr>
<td>Systems Blueprint<br>(Stage 2, Lvl 10-30)
</td>
<td style=""text-align:center"">9.52%
</td>
<td rowspan=""2"" style=""text-align:center"">3&nbsp;–&nbsp;4 Bounties
</td>
<td rowspan=""2"" style=""text-align:center"">18&nbsp;±&nbsp;6 Bounties
</td></tr>
<tr>
<td>Systems Blueprint<br>(Stage 3, Lvl 10-30)
</td>
<td style=""text-align:center"">21.82%
</td></tr>","null","null","null","null","null","null"
"1637016837-218","https://warframe.fandom.com/wiki/Warframes_Comparison","Atlas","https://warframe.fandom.com/wiki/Atlas","Chassis Blueprint","38.72%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Chassis Blueprint
</td>
<td style=""text-align:center"">38.72%
</td>
<td rowspan=""3"" style=""text-align:center"">6&nbsp;–&nbsp;7
</td>
<td rowspan=""3"" style=""text-align:center"">27&nbsp;±&nbsp;9
</td></tr>
<tr>
<td>Neuroptics Blueprint
</td>
<td style=""text-align:center"">38.72%
</td></tr>
<tr>
<td>Systems Blueprint
</td>
<td style=""text-align:center"">22.56%
</td></tr>","null","null","null","Syndicate","null","null"
"1637016778-180","https://warframe.fandom.com/wiki/Warframes_Comparison","Gara","https://warframe.fandom.com/wiki/Gara","Neuroptics Blueprint
(Stage 2, Lvl 20-40)","9.57%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Chassis Blueprint<br>(Stage 2, Lvl 5-15)
</td>
<td style=""text-align:center"">7.52%
</td>
<td rowspan=""2"" style=""text-align:center"">2&nbsp;–&nbsp;3 Bounties
</td>
<td rowspan=""2"" style=""text-align:center"">14&nbsp;±&nbsp;5 Bounties
</td></tr>
<tr>
<td>Chassis Blueprint<br>(Stage 3, Lvl 5-15)
</td>
<td style=""text-align:center"">30.56%
</td></tr>
<tr>
<td>Neuroptics Blueprint<br>(Stage 2, Lvl 20-40)
</td>
<td style=""text-align:center"">8.42%
</td>
<td rowspan=""3"" style=""text-align:center"">2&nbsp;–&nbsp;3 Bounties
</td>
<td rowspan=""3"" style=""text-align:center"">15&nbsp;±&nbsp;5 Bounties
</td></tr>
<tr>
<td>Neuroptics Blueprint<br>(Stage 3, Lvl 20-40)
</td>
<td style=""text-align:center"">8.42%
</td></tr>
<tr>
<td>Neuroptics Blueprint<br>(Stage 4, Lvl 20-40)
</td>
<td style=""text-align:center"">20.51%
</td></tr>
<tr>
<td>Systems Blueprint<br>(Stage 2, Lvl 10-30)
</td>
<td style=""text-align:center"">9.52%
</td>
<td rowspan=""2"" style=""text-align:center"">3&nbsp;–&nbsp;4 Bounties
</td>
<td rowspan=""2"" style=""text-align:center"">18&nbsp;±&nbsp;6 Bounties
</td></tr>
<tr>
<td>Systems Blueprint<br>(Stage 3, Lvl 10-30)
</td>
<td style=""text-align:center"">21.82%
</td></tr>","null","null","null","null","null","null"
"1637016805-204","https://warframe.fandom.com/wiki/Warframes_Comparison","Equinox","https://warframe.fandom.com/wiki/Equinox","Night Neuroptics Blueprint","12.91%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Day Aspect Blueprint
</td>
<td style=""text-align:center"">11.28%
</td>
<td rowspan=""8"" style=""text-align:center"">21&nbsp;–&nbsp;22
</td>
<td rowspan=""8"" style=""text-align:center"">69&nbsp;±&nbsp;18
</td></tr>
<tr>
<td>Day Chassis Blueprint
</td>
<td style=""text-align:center"">12.91%
</td></tr>
<tr>
<td>Day Neuroptics Blueprint
</td>
<td style=""text-align:center"">12.91%
</td></tr>
<tr>
<td>Day Systems Blueprint
</td>
<td style=""text-align:center"">12.91%
</td></tr>
<tr>
<td>Night Aspect Blueprint
</td>
<td style=""text-align:center"">11.28%
</td></tr>
<tr>
<td>Night Chassis Blueprint
</td>
<td style=""text-align:center"">12.91%
</td></tr>
<tr>
<td>Night Neuroptics Blueprint
</td>
<td style=""text-align:center"">12.91%
</td></tr>
<tr>
<td>Night Systems Blueprint
</td>
<td style=""text-align:center"">12.91%
</td></tr>","null","can be purchased from the Market","null","null","null","null"
"1637016637-48","https://warframe.fandom.com/wiki/Warframes_Comparison","Saryn","https://warframe.fandom.com/wiki/Saryn","Chassis Blueprint","38.72%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Chassis Blueprint
</td>
<td style=""text-align:center"">38.72%
</td>
<td rowspan=""3"" style=""text-align:center"">6&nbsp;–&nbsp;7
</td>
<td rowspan=""3"" style=""text-align:center"">27&nbsp;±&nbsp;9
</td></tr>
<tr>
<td>Neuroptics Blueprint
</td>
<td style=""text-align:center"">38.72%
</td></tr>
<tr>
<td>Systems Blueprint
</td>
<td style=""text-align:center"">22.56%
</td></tr>","null","can be purchased from the Market","null","null","null","null"
"1637016637-49","https://warframe.fandom.com/wiki/Warframes_Comparison","Saryn","https://warframe.fandom.com/wiki/Saryn","Neuroptics Blueprint","38.72%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Chassis Blueprint
</td>
<td style=""text-align:center"">38.72%
</td>
<td rowspan=""3"" style=""text-align:center"">6&nbsp;–&nbsp;7
</td>
<td rowspan=""3"" style=""text-align:center"">27&nbsp;±&nbsp;9
</td></tr>
<tr>
<td>Neuroptics Blueprint
</td>
<td style=""text-align:center"">38.72%
</td></tr>
<tr>
<td>Systems Blueprint
</td>
<td style=""text-align:center"">22.56%
</td></tr>","null","can be purchased from the Market","null","null","null","null"
"1637016661-78","https://warframe.fandom.com/wiki/Warframes_Comparison","Oberon","https://warframe.fandom.com/wiki/Oberon","null","null","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Chassis Blueprint
</td>
<td style=""text-align:center"">10%
</td>
<td rowspan=""1"" style=""text-align:center"">10 Rotation B Caches
</td>
<td rowspan=""1"" style=""text-align:center"">66&nbsp;±&nbsp;22 Rotation B Caches
</td></tr>
<tr>
<td>Neuroptics Blueprint
</td>
<td style=""text-align:center"">10%
</td>
<td rowspan=""1"" style=""text-align:center"">10 Rotation B Caches
</td>
<td rowspan=""1"" style=""text-align:center"">66&nbsp;±&nbsp;22 Rotation B Caches
</td></tr>
<tr>
<td>Systems Blueprint
</td>
<td style=""text-align:center"">10%
</td>
<td rowspan=""1"" style=""text-align:center"">10 Rotation B Caches
</td>
<td rowspan=""1"" style=""text-align:center"">66&nbsp;±&nbsp;22 Rotation B Caches
</td></tr>","null","can be purchased from the Market","null","Syndicate","null","null"
"1637016571-9","https://warframe.fandom.com/wiki/Warframes_Comparison","Xaku","https://warframe.fandom.com/wiki/Xaku","Systems Blueprint
(Stage 2 & 3, Lvl 30-40)","7.5%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Chassis Blueprint<br>(Stage 2 &amp; 3, Lvl 40-60)
</td>
<td style=""text-align:center"">8.57%
</td>
<td rowspan=""3"" style=""text-align:center"">3&nbsp;–&nbsp;4 Bounties
</td>
<td rowspan=""3"" style=""text-align:center"">21&nbsp;±&nbsp;7 Bounties
</td></tr>
<tr>
<td>Chassis Blueprint<br>(Stage 4, Lvl 40-60)
</td>
<td style=""text-align:center"">6.67%
</td></tr>
<tr>
<td>Chassis Blueprint<br>(Stage 5, Lvl 40-60)
</td>
<td style=""text-align:center"">13.04%
</td></tr>
<tr>
<td>Neuroptics Blueprint<br>(Stage 2, Lvl 15-25)
</td>
<td style=""text-align:center"">7.5%
</td>
<td rowspan=""2"" style=""text-align:center"">5&nbsp;–&nbsp;6 Bounties
</td>
<td rowspan=""2"" style=""text-align:center"">36&nbsp;±&nbsp;12 Bounties
</td></tr>
<tr>
<td>Neuroptics Blueprint<br>(Stage 3, Lvl 15-25)
</td>
<td style=""text-align:center"">10%
</td></tr>
<tr>
<td>Systems Blueprint<br>(Stage 2 &amp; 3, Lvl 30-40)
</td>
<td style=""text-align:center"">7.5%
</td>
<td rowspan=""3"" style=""text-align:center"">4&nbsp;–&nbsp;5 Bounties
</td>
<td rowspan=""3"" style=""text-align:center"">26&nbsp;±&nbsp;9 Bounties
</td></tr>
<tr>
<td>Systems Blueprint<br>(Stage 4, Lvl 30-40)
</td>
<td style=""text-align:center"">6%
</td></tr>
<tr>
<td>Systems Blueprint<br>(Stage 5, Lvl 30-40)
</td>
<td style=""text-align:center"">10%
</td></tr>","null","null","null","null","null","null"
"1637016661-75","https://warframe.fandom.com/wiki/Warframes_Comparison","Oberon","https://warframe.fandom.com/wiki/Oberon","Chassis Blueprint","10%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Chassis Blueprint
</td>
<td style=""text-align:center"">10%
</td>
<td rowspan=""1"" style=""text-align:center"">10 Rotation B Caches
</td>
<td rowspan=""1"" style=""text-align:center"">66&nbsp;±&nbsp;22 Rotation B Caches
</td></tr>
<tr>
<td>Neuroptics Blueprint
</td>
<td style=""text-align:center"">10%
</td>
<td rowspan=""1"" style=""text-align:center"">10 Rotation B Caches
</td>
<td rowspan=""1"" style=""text-align:center"">66&nbsp;±&nbsp;22 Rotation B Caches
</td></tr>
<tr>
<td>Systems Blueprint
</td>
<td style=""text-align:center"">10%
</td>
<td rowspan=""1"" style=""text-align:center"">10 Rotation B Caches
</td>
<td rowspan=""1"" style=""text-align:center"">66&nbsp;±&nbsp;22 Rotation B Caches
</td></tr>","null","can be purchased from the Market","null","Syndicate","null","null"
"1637016692-99","https://warframe.fandom.com/wiki/Warframes_Comparison","Nekros","https://warframe.fandom.com/wiki/Nekros","Systems Blueprint","33.333%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Chassis Blueprint
</td>
<td style=""text-align:center"">33.333%
</td>
<td rowspan=""3"" style=""text-align:center"">5&nbsp;–&nbsp;6
</td>
<td rowspan=""3"" style=""text-align:center"">20&nbsp;±&nbsp;6
</td></tr>
<tr>
<td>Neuroptics Blueprint
</td>
<td style=""text-align:center"">33.333%
</td></tr>
<tr>
<td>Systems Blueprint
</td>
<td style=""text-align:center"">33.333%
</td></tr>","null","can be purchased from the Market","null","Syndicate","null","null"
