ItemName,CreditsCost,DucatsCost,SaleDate
Left Prisma Latron Shoulder Plate,220000,325,2021-11-19
Prisma Grakata,100000,610,2015-06-12
Prisma Grakata,100000,610,2015-10-30
Prisma Grakata,100000,610,2016-05-06
Prisma Grakata,100000,610,2016-10-21
Prisma Grakata,100000,610,2016-12-02
Prisma Grakata,100000,610,2017-04-07
Prisma Grakata,100000,610,2017-09-22
Prisma Grakata,100000,610,2018-01-26
Prisma Grakata,100000,610,2018-06-15
Prisma Grakata,100000,610,2018-11-16
Prisma Grakata,100000,610,2019-04-05
Prisma Grakata,100000,610,2019-08-16
Prisma Grakata,100000,610,2019-12-06
Prisma Grakata,100000,610,2020-03-27
Prisma Grakata,100000,610,2020-07-17
Prisma Grakata,100000,610,2021-01-01
Prisma Grakata,100000,610,2021-05-21
Prisma Grakata,100000,610,2021-09-24
Primed Expel Corrupted,140000,350,2018-10-05
Primed Expel Corrupted,140000,350,2019-02-08
Primed Expel Corrupted,140000,350,2019-06-28
Primed Expel Corrupted,140000,350,2019-11-08
Primed Expel Corrupted,140000,350,2020-04-24
Primed Expel Corrupted,140000,350,2020-11-06
Primed Expel Corrupted,140000,350,2021-05-21
Prisma Tetra,50000,400,2015-08-07
Prisma Tetra,50000,400,2016-04-08
Prisma Tetra,50000,400,2016-08-12
Prisma Tetra,50000,400,2016-11-18
Prisma Tetra,50000,400,2017-03-10
Prisma Tetra,50000,400,2017-08-11
Prisma Tetra,50000,400,2017-12-29
Prisma Tetra,50000,400,2018-05-18
Prisma Tetra,50000,400,2018-10-05
Prisma Tetra,50000,400,2019-01-11
Prisma Tetra,50000,400,2019-05-03
Prisma Tetra,50000,400,2019-09-13
Prisma Tetra,50000,400,2020-01-17
Prisma Tetra,50000,400,2020-05-08
Prisma Tetra,50000,400,2020-08-28
Prisma Tetra,50000,400,2021-01-15
Prisma Tetra,50000,400,2021-05-21
Prisma Tetra,50000,400,2021-10-08
Prisma Twin Gremlins,220000,500,2018-08-24
Prisma Twin Gremlins,220000,500,2018-12-14
Prisma Twin Gremlins,220000,500,2019-03-22
Prisma Twin Gremlins,220000,500,2019-06-28
Prisma Twin Gremlins,220000,500,2019-11-22
Prisma Twin Gremlins,220000,500,2020-03-27
Prisma Twin Gremlins,220000,500,2020-07-31
Prisma Twin Gremlins,220000,500,2020-12-18
Prisma Twin Gremlins,220000,500,2021-05-07
Prisma Twin Gremlins,220000,500,2021-09-24
Supra Vandal,275000,500,2018-04-20
Supra Vandal,275000,500,2018-09-21
Supra Vandal,275000,500,2019-01-11
Supra Vandal,275000,500,2019-04-19
Supra Vandal,275000,500,2019-08-30
Supra Vandal,275000,500,2019-12-20
Supra Vandal,275000,500,2020-04-24
Supra Vandal,275000,500,2020-08-14
Supra Vandal,275000,500,2021-01-15
Supra Vandal,275000,500,2021-06-04
Supra Vandal,275000,500,2021-11-19
Dvad Luxxum Ornament,100000,100,2019-09-27
Dvad Luxxum Ornament,100000,100,2020-01-31
Dvad Luxxum Ornament,100000,100,2020-05-22
Dvad Luxxum Ornament,100000,100,2020-11-20
Dvad Luxxum Ornament,100000,100,2021-05-07
Collision Force,250000,400,2016-02-26
Collision Force,250000,400,2016-07-29
Collision Force,250000,400,2016-11-04
Collision Force,250000,400,2017-03-10
Collision Force,250000,400,2017-07-28
Collision Force,250000,400,2017-12-01
Collision Force,250000,400,2018-05-04
Collision Force,250000,400,2018-09-21
Collision Force,250000,400,2019-04-05
Collision Force,250000,400,2019-08-16
Collision Force,250000,400,2020-01-17
Collision Force,250000,400,2020-08-28
Collision Force,250000,400,2021-03-12
Collision Force,250000,400,2021-10-22
Diriga Desert-Camo Skin,150000,225,2019-05-31
Diriga Desert-Camo Skin,150000,225,2019-10-25
Diriga Desert-Camo Skin,150000,225,2020-02-14
Diriga Desert-Camo Skin,150000,225,2020-06-19
Diriga Desert-Camo Skin,150000,225,2020-09-25
Diriga Desert-Camo Skin,150000,225,2021-01-15
Diriga Desert-Camo Skin,150000,225,2021-05-21
Diriga Desert-Camo Skin,150000,225,2021-10-08
Volcanic Edge,150000,300,2017-10-06
Volcanic Edge,150000,300,2018-02-09
Volcanic Edge,150000,300,2018-06-15
Volcanic Edge,150000,300,2018-11-02
Volcanic Edge,150000,300,2019-02-22
Volcanic Edge,150000,300,2019-06-14
Volcanic Edge,150000,300,2019-10-11
Volcanic Edge,150000,300,2020-04-10
Volcanic Edge,150000,300,2020-11-20
Volcanic Edge,150000,300,2021-06-04
Ki'teer Domestik Drone,500000,700,2020-04-24
Ki'teer Domestik Drone,500000,700,2020-07-31
Ki'teer Domestik Drone,500000,700,2020-12-04
Ki'teer Domestik Drone,500000,700,2021-04-23
Ki'teer Domestik Drone,500000,700,2021-09-24
Lotus Ephemera,450000,250,2020-07-31
Lotus Ephemera,450000,250,2020-12-18
Lotus Ephemera,450000,250,2021-06-04
Lotus Ephemera,450000,250,2021-10-08
Ki'teer Razza Syandana,350000,400,2017-04-07
Ki'teer Razza Syandana,350000,400,2017-09-08
Ki'teer Razza Syandana,350000,400,2018-01-26
Ki'teer Razza Syandana,350000,400,2018-05-04
Ki'teer Razza Syandana,350000,400,2018-08-24
Ki'teer Razza Syandana,350000,400,2018-12-28
Ki'teer Razza Syandana,350000,400,2019-04-05
Ki'teer Razza Syandana,350000,400,2019-08-16
Ki'teer Razza Syandana,350000,400,2019-12-06
Ki'teer Razza Syandana,350000,400,2020-03-13
Ki'teer Razza Syandana,350000,400,2020-07-17
Ki'teer Razza Syandana,350000,400,2021-01-01
Ki'teer Razza Syandana,350000,400,2021-01-15
Ki'teer Razza Syandana,350000,400,2021-05-21
Ki'teer Razza Syandana,350000,400,2021-09-24
Ki'teer Diax Syandana,450000,325,2016-07-01
Ki'teer Diax Syandana,450000,325,2016-11-04
Ki'teer Diax Syandana,450000,325,2017-02-24
Ki'teer Diax Syandana,450000,325,2017-07-14
Ki'teer Diax Syandana,450000,325,2017-11-17
Ki'teer Diax Syandana,450000,325,2018-03-23
Ki'teer Diax Syandana,450000,325,2018-07-27
Ki'teer Diax Syandana,450000,325,2018-12-14
Ki'teer Diax Syandana,450000,325,2019-03-22
Ki'teer Diax Syandana,450000,325,2019-07-19
Ki'teer Diax Syandana,450000,325,2019-10-25
Ki'teer Diax Syandana,450000,325,2020-02-14
Ki'teer Diax Syandana,450000,325,2020-06-19
Ki'teer Diax Syandana,450000,325,2020-10-09
Ki'teer Diax Syandana,450000,325,2021-02-12
Ki'teer Diax Syandana,450000,325,2021-07-16
Ki'teer Diax Syandana,450000,325,2021-10-22
Prisma Uru Syandana,275000,350,2018-07-13
Prisma Uru Syandana,275000,350,2018-11-16
Prisma Uru Syandana,275000,350,2019-03-08
Prisma Uru Syandana,275000,350,2019-06-14
Prisma Uru Syandana,275000,350,2019-09-27
Prisma Uru Syandana,275000,350,2020-01-31
Prisma Uru Syandana,275000,350,2020-05-22
Prisma Uru Syandana,275000,350,2020-09-25
Prisma Uru Syandana,275000,350,2021-02-26
Prisma Uru Syandana,275000,350,2021-07-30
3 Day Resource Booster,150000,400,2016-01-22
3 Day Resource Booster,150000,400,2016-02-12
3 Day Resource Booster,150000,400,2016-02-26
3 Day Resource Booster,150000,400,2016-03-25
3 Day Resource Booster,150000,400,2016-04-22
3 Day Resource Booster,150000,400,2016-05-20
3 Day Resource Booster,150000,400,2016-06-17
3 Day Resource Booster,150000,400,2016-07-15
3 Day Resource Booster,150000,400,2016-10-07
3 Day Resource Booster,150000,400,2016-12-30
3 Day Resource Booster,150000,400,2017-02-10
3 Day Resource Booster,150000,400,2017-05-05
3 Day Resource Booster,150000,400,2017-08-11
3 Day Resource Booster,150000,400,2017-11-17
3 Day Resource Booster,150000,400,2018-03-23
3 Day Resource Booster,150000,400,2018-10-05
3 Day Resource Booster,150000,400,2019-01-11
3 Day Resource Booster,150000,400,2019-05-31
3 Day Resource Booster,150000,400,2019-09-27
3 Day Resource Booster,150000,400,2019-11-22
3 Day Resource Booster,150000,400,2020-01-31
3 Day Resource Booster,150000,400,2020-05-08
3 Day Resource Booster,150000,400,2020-08-28
3 Day Resource Booster,150000,400,2021-01-01
3 Day Resource Booster,150000,400,2021-04-09
3 Day Resource Booster,150000,400,2021-08-27
Opticor Elixis Skin,250000,325,2018-05-18
Opticor Elixis Skin,250000,325,2018-09-21
Opticor Elixis Skin,250000,325,2019-01-11
Opticor Elixis Skin,250000,325,2019-04-05
Opticor Elixis Skin,250000,325,2019-10-25
Opticor Elixis Skin,250000,325,2020-03-27
Opticor Elixis Skin,250000,325,2020-07-03
Opticor Elixis Skin,250000,325,2020-11-06
Opticor Elixis Skin,250000,325,2021-03-26
Opticor Elixis Skin,250000,325,2021-07-16
Opticor Elixis Skin,250000,325,2021-10-22
Primed Smite Corpus,140000,350,2019-12-20
Primed Smite Corpus,140000,350,2020-07-17
Primed Smite Corpus,140000,350,2021-01-29
Primed Smite Corpus,140000,350,2021-08-13
Ki'teer Atmos Diadem,375000,525,2018-01-26
Ki'teer Atmos Diadem,375000,525,2018-05-18
Ki'teer Atmos Diadem,375000,525,2018-09-07
Ki'teer Atmos Diadem,375000,525,2018-12-14
Ki'teer Atmos Diadem,375000,525,2019-03-22
Ki'teer Atmos Diadem,375000,525,2019-07-19
Ki'teer Atmos Diadem,375000,525,2020-01-31
Ki'teer Atmos Diadem,375000,525,2020-04-24
Ki'teer Atmos Diadem,375000,525,2020-08-14
Ki'teer Atmos Diadem,375000,525,2020-12-04
Ki'teer Atmos Diadem,375000,525,2021-04-23
Ki'teer Atmos Diadem,375000,525,2021-08-27
Ki'teer Atmos Diadem,375000,525,2021-11-19
Pedestal Prime,1000000,0,2016-11-04
Pedestal Prime,1000000,0,2017-03-24
Pedestal Prime,1000000,0,2017-12-29
Pedestal Prime,1000000,0,2018-07-13
Pedestal Prime,1000000,0,2018-10-05
Pedestal Prime,1000000,0,2019-12-20
Pedestal Prime,1000000,0,2020-05-22
Pedestal Prime,1000000,0,2020-10-09
Pedestal Prime,1000000,0,2021-03-26
Pedestal Prime,1000000,0,2021-09-10
Zag Luxxum Ornament,100000,100,2019-09-27
Zag Luxxum Ornament,100000,100,2020-01-31
Zag Luxxum Ornament,100000,100,2020-05-22
Zag Luxxum Ornament,100000,100,2020-11-20
Zag Luxxum Ornament,100000,100,2021-03-12
Anpu Staff Skin,250000,325,2017-11-03
Anpu Staff Skin,250000,325,2018-03-09
Anpu Staff Skin,250000,325,2018-06-29
Anpu Staff Skin,250000,325,2018-11-16
Anpu Staff Skin,250000,325,2019-02-22
Anpu Staff Skin,250000,325,2019-06-28
Anpu Staff Skin,250000,325,2019-10-25
Anpu Staff Skin,250000,325,2020-04-10
Anpu Staff Skin,250000,325,2020-08-14
Anpu Staff Skin,250000,325,2020-11-20
Anpu Staff Skin,250000,325,2020-12-04
Anpu Staff Skin,250000,325,2021-05-07
Anpu Staff Skin,250000,325,2021-09-10
Ki'teer Atmos Oculus,375000,525,2018-06-15
Ki'teer Atmos Oculus,375000,525,2018-10-19
Ki'teer Atmos Oculus,375000,525,2019-01-25
Ki'teer Atmos Oculus,375000,525,2019-05-03
Ki'teer Atmos Oculus,375000,525,2019-10-11
Ki'teer Atmos Oculus,375000,525,2020-02-14
Ki'teer Atmos Oculus,375000,525,2020-06-05
Ki'teer Atmos Oculus,375000,525,2020-09-11
Ki'teer Atmos Oculus,375000,525,2021-02-12
Ki'teer Atmos Oculus,375000,525,2021-07-30
Mara Detron,200000,500,2014-12-12
Mara Detron,200000,500,2015-05-15
Mara Detron,200000,500,2016-02-26
Mara Detron,200000,500,2016-11-04
Mara Detron,200000,500,2017-02-10
Mara Detron,200000,500,2017-07-14
Mara Detron,200000,500,2017-11-17
Mara Detron,200000,500,2018-04-06
Mara Detron,200000,500,2018-08-24
Mara Detron,200000,500,2018-12-28
Mara Detron,200000,500,2019-04-05
Mara Detron,200000,500,2019-08-16
Mara Detron,200000,500,2019-11-22
Mara Detron,200000,500,2020-03-27
Mara Detron,200000,500,2020-07-17
Mara Detron,200000,500,2020-12-04
Mara Detron,200000,500,2021-04-23
Mara Detron,200000,500,2021-08-27
Limbo Immortal Skin,100000,550,2020-01-17
Limbo Immortal Skin,100000,550,2020-04-24
Limbo Immortal Skin,100000,550,2020-07-31
Limbo Immortal Skin,100000,550,2020-11-20
Limbo Immortal Skin,100000,550,2021-03-26
Limbo Immortal Skin,100000,550,2021-07-30
Left Eos Prime Spurs,50000,65,2015-01-09
Left Eos Prime Spurs,50000,65,2015-03-20
Left Eos Prime Spurs,50000,65,2016-02-12
Left Eos Prime Spurs,50000,65,2016-07-15
Left Eos Prime Spurs,50000,65,2016-11-04
Left Eos Prime Spurs,50000,65,2017-03-10
Left Eos Prime Spurs,50000,65,2017-07-28
Left Eos Prime Spurs,50000,65,2017-12-01
Left Eos Prime Spurs,50000,65,2018-04-06
Left Eos Prime Spurs,50000,65,2018-07-27
Left Eos Prime Spurs,50000,65,2018-11-02
Left Eos Prime Spurs,50000,65,2019-02-22
Left Eos Prime Spurs,50000,65,2019-05-31
Left Eos Prime Spurs,50000,65,2019-09-27
Left Eos Prime Spurs,50000,65,2020-02-14
Left Eos Prime Spurs,50000,65,2020-06-19
Left Eos Prime Spurs,50000,65,2020-10-23
Left Eos Prime Spurs,50000,65,2021-03-12
Left Eos Prime Spurs,50000,65,2021-07-30
Mirage Immortal Skin,100000,550,2018-09-07
Mirage Immortal Skin,100000,550,2018-12-28
Mirage Immortal Skin,100000,550,2019-04-05
Mirage Immortal Skin,100000,550,2019-08-02
Mirage Immortal Skin,100000,550,2019-12-20
Mirage Immortal Skin,100000,550,2020-04-10
Mirage Immortal Skin,100000,550,2020-09-11
Mirage Immortal Skin,100000,550,2021-01-15
Mirage Immortal Skin,100000,550,2021-06-04
Mirage Immortal Skin,100000,550,2021-10-22
Fanged Fusillade,150000,375,2015-09-18
Fanged Fusillade,150000,375,2016-03-11
Fanged Fusillade,150000,375,2016-07-29
Fanged Fusillade,150000,375,2016-09-09
Fanged Fusillade,150000,375,2017-01-13
Fanged Fusillade,150000,375,2017-04-21
Fanged Fusillade,150000,375,2017-09-08
Fanged Fusillade,150000,375,2018-01-26
Fanged Fusillade,150000,375,2018-06-29
Fanged Fusillade,150000,375,2018-11-16
Fanged Fusillade,150000,375,2019-03-22
Fanged Fusillade,150000,375,2019-08-02
Fanged Fusillade,150000,375,2019-11-22
Fanged Fusillade,150000,375,2020-04-10
Fanged Fusillade,150000,375,2020-10-23
Fanged Fusillade,150000,375,2021-04-09
Fanged Fusillade,150000,375,2021-11-19
Orokin Tower Extraction Scene,175000,325,2018-03-23
Orokin Tower Extraction Scene,175000,325,2018-08-10
Orokin Tower Extraction Scene,175000,325,2018-12-14
Orokin Tower Extraction Scene,175000,325,2019-04-05
Orokin Tower Extraction Scene,175000,325,2019-08-02
Orokin Tower Extraction Scene,175000,325,2019-10-25
Orokin Tower Extraction Scene,175000,325,2020-01-03
Orokin Tower Extraction Scene,175000,325,2020-05-08
Orokin Tower Extraction Scene,175000,325,2020-09-25
Orokin Tower Extraction Scene,175000,325,2021-03-26
Orokin Tower Extraction Scene,175000,325,2021-08-27
Primed Quickdraw,120000,375,2018-07-27
Primed Quickdraw,120000,375,2018-11-02
Primed Quickdraw,120000,375,2019-03-22
Primed Quickdraw,120000,375,2019-06-28
Primed Quickdraw,120000,375,2019-07-19
Primed Quickdraw,120000,375,2019-10-25
Primed Quickdraw,120000,375,2020-05-22
Primed Quickdraw,120000,375,2020-12-18
Primed Quickdraw,120000,375,2021-06-18
Ignis Towsun Skin,300000,300,2019-09-13
Ignis Towsun Skin,300000,300,2019-12-20
Ignis Towsun Skin,300000,300,2020-05-22
Ignis Towsun Skin,300000,300,2020-09-25
Ignis Towsun Skin,300000,300,2021-07-30
Dark Sword Day of the Dead Skin,250000,320,2015-10-30
Dark Sword Day of the Dead Skin,250000,320,2016-10-21
Dark Sword Day of the Dead Skin,250000,320,2017-10-06
Dark Sword Day of the Dead Skin,250000,320,2017-10-20
Dark Sword Day of the Dead Skin,250000,320,2018-10-05
Dark Sword Day of the Dead Skin,250000,320,2018-10-19
Dark Sword Day of the Dead Skin,250000,320,2019-10-11
Dark Sword Day of the Dead Skin,250000,320,2019-10-25
Dark Sword Day of the Dead Skin,250000,320,2020-10-09
Dark Sword Day of the Dead Skin,250000,320,2020-10-23
Dark Sword Day of the Dead Skin,250000,320,2021-10-08
Dark Sword Day of the Dead Skin,250000,320,2021-10-22
Vez Luxxum Ornament,100000,100,2019-12-06
Vez Luxxum Ornament,100000,100,2020-04-10
Vez Luxxum Ornament,100000,100,2020-09-11
Vez Luxxum Ornament,100000,100,2021-01-15
Vez Luxxum Ornament,100000,100,2021-07-02
Noggle Statue - Excalibur with Odonata,200000,90,2018-04-06
Noggle Statue - Excalibur with Odonata,200000,90,2018-08-24
Noggle Statue - Excalibur with Odonata,200000,90,2018-12-28
Noggle Statue - Excalibur with Odonata,200000,90,2019-04-19
Noggle Statue - Excalibur with Odonata,200000,90,2019-08-16
Noggle Statue - Excalibur with Odonata,200000,90,2020-01-17
Noggle Statue - Excalibur with Odonata,200000,90,2020-06-05
Noggle Statue - Excalibur with Odonata,200000,90,2020-10-23
Noggle Statue - Excalibur with Odonata,200000,90,2021-04-09
Noggle Statue - Excalibur with Odonata,200000,90,2021-08-27
Prisma Avia Ankle Plate,175000,225,2019-05-17
Prisma Avia Ankle Plate,175000,225,2019-08-16
Prisma Avia Ankle Plate,175000,225,2019-12-20
Prisma Avia Ankle Plate,175000,225,2020-04-24
Prisma Avia Ankle Plate,175000,225,2020-08-28
Prisma Avia Ankle Plate,175000,225,2021-01-15
Prisma Avia Ankle Plate,175000,225,2021-05-21
Prisma Avia Ankle Plate,175000,225,2021-10-22
Prisma Kavat Glyph,50000,80,2019-02-08
Prisma Kavat Glyph,50000,80,2019-05-31
Prisma Kavat Glyph,50000,80,2019-11-08
Prisma Kavat Glyph,50000,80,2020-03-13
Prisma Kavat Glyph,50000,80,2020-07-03
Prisma Kavat Glyph,50000,80,2020-07-31
Prisma Kavat Glyph,50000,80,2021-01-01
Prisma Kavat Glyph,50000,80,2021-06-04
Liset Prisma Skin,150000,120,2015-03-06
Liset Prisma Skin,150000,120,2015-07-24
Liset Prisma Skin,150000,120,2016-03-25
Liset Prisma Skin,150000,120,2016-09-09
Liset Prisma Skin,150000,120,2016-12-30
Liset Prisma Skin,150000,120,2017-05-05
Liset Prisma Skin,150000,120,2017-09-22
Liset Prisma Skin,150000,120,2018-01-26
Liset Prisma Skin,150000,120,2018-05-04
Liset Prisma Skin,150000,120,2018-09-07
Liset Prisma Skin,150000,120,2019-01-11
Liset Prisma Skin,150000,120,2019-04-05
Liset Prisma Skin,150000,120,2019-07-19
Liset Prisma Skin,150000,120,2020-01-31
Liset Prisma Skin,150000,120,2020-05-08
Liset Prisma Skin,150000,120,2020-10-23
Liset Prisma Skin,150000,120,2021-03-26
Liset Prisma Skin,150000,120,2021-10-22
Sima Luxxum Ornament,100000,100,2019-12-06
Sima Luxxum Ornament,100000,100,2020-04-10
Sima Luxxum Ornament,100000,100,2020-09-25
Sima Luxxum Ornament,100000,100,2021-02-26
Sima Luxxum Ornament,100000,100,2021-08-27
Primed Shotgun Ammo Mutation,140000,400,2015-11-13
Primed Shotgun Ammo Mutation,140000,400,2016-07-01
Primed Shotgun Ammo Mutation,140000,400,2016-10-07
Primed Shotgun Ammo Mutation,140000,400,2017-02-10
Primed Shotgun Ammo Mutation,140000,400,2017-06-16
Primed Shotgun Ammo Mutation,140000,400,2017-11-03
Primed Shotgun Ammo Mutation,140000,400,2018-04-06
Primed Shotgun Ammo Mutation,140000,400,2018-08-24
Primed Shotgun Ammo Mutation,140000,400,2019-01-11
Primed Shotgun Ammo Mutation,140000,400,2019-05-17
Primed Shotgun Ammo Mutation,140000,400,2019-09-13
Primed Shotgun Ammo Mutation,140000,400,2020-02-14
Primed Shotgun Ammo Mutation,140000,400,2020-07-31
Primed Shotgun Ammo Mutation,140000,400,2021-02-12
Primed Shotgun Ammo Mutation,140000,400,2021-08-27
Kavat Sentinel Wings,250000,400,2017-12-15
Kavat Sentinel Wings,250000,400,2018-04-20
Kavat Sentinel Wings,250000,400,2018-08-24
Kavat Sentinel Wings,250000,400,2018-12-14
Kavat Sentinel Wings,250000,400,2019-03-22
Kavat Sentinel Wings,250000,400,2019-04-19
Kavat Sentinel Wings,250000,400,2019-08-16
Kavat Sentinel Wings,250000,400,2019-12-20
Kavat Sentinel Wings,250000,400,2020-03-13
Kavat Sentinel Wings,250000,400,2020-07-03
Kavat Sentinel Wings,250000,400,2020-10-23
Kavat Sentinel Wings,250000,400,2021-03-26
Kavat Sentinel Wings,250000,400,2021-07-30
Tenno Kindred Rug,100000,225,2018-12-14
Tenno Kindred Rug,100000,225,2019-03-22
Tenno Kindred Rug,100000,225,2019-11-22
Tenno Kindred Rug,100000,225,2020-03-27
Tenno Kindred Rug,100000,225,2020-08-28
Tenno Kindred Rug,100000,225,2021-01-15
Tenno Kindred Rug,100000,225,2021-06-18
